0,20190430073005,20190430073322,MT,0164279272,07578156630,2
1,20190430073359,20190430073535,MT,02755996717,07578156630,2
2,20190430073604,20190430073700,MT,07163806007,07578156630,2
3,20190430073717,20190430073738,MT,02752642925,07578156630,2
4,20190430073808,20190430073931,MT,680799,07578156630,2
5,20190430074002,20190430074016,MT,12783418,07578156630,2
6,20190430074059,20190430074206,MT,48528,07578156630,2
7,20190430074239,20190430074518,MT,01421855008,07578156630,2
8,20190430074554,20190430074642,MT,01700504025,07578156630,2
9,20190430074702,20190430074854,MT,07378450454,07578156630,2
