0,20190430073013,20190430073028,MT,07353849526,07264016503,2
1,20190430073045,20190430073335,MT,584026242,07264016503,1
2,20190430073410,20190430073726,MT,2251,07264016503,2
3,20190430073806,20190430073825,MT,04444444444,07264016503,2
4,20190430073855,20190430074149,MT,07231218775,07264016503,2
5,20190430074226,20190430074319,MT,07410679586,07264016503,2
6,20190430074340,20190430074555,MT,07777777777,07264016503,2
7,20190430074630,20190430074849,MT,07344802635,07264016503,2
8,20190430074921,20190430075027,MT,0185168670,07264016503,2
9,20190430075043,20190430075306,MT,2,07264016503,2
